employee_id,date,employee_department,employee_campus,employee_position,employee_seniority_years,is_contractor,employee_classification,has_foreign_citizenship,has_criminal_record,has_medical_history,employee_origin_country,behavioral_group,is_malicious,risk_travel_indicator,num_print_commands,total_printed_pages,num_print_commands_off_hours,num_printed_pages_off_hours,num_color_prints,num_bw_prints,ratio_color_prints,printed_from_other,print_campuses,num_burn_requests,max_request_classification,avg_request_classification,num_burn_requests_off_hours,total_burn_volume_mb,total_files_burned,burned_from_other,burn_campuses,is_abroad,trip_day_number,country_name,is_hostile_country_trip,is_official_trip,is_origin_country_trip,num_entries,num_exits,first_entry_time,last_exit_time,total_presence_minutes,entered_during_night_hours,num_unique_campus,early_entry_flag,late_exit_flag,entry_during_weekend
1,27/12/2024,Engineering Department,Campus B,Systems Engineer,11,0,3,1,0,1,Other,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0
1,28/12/2024,Engineering Department,Campus B,Systems Engineer,11,0,3,1,0,1,Other,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0
1,29/12/2024,Engineering Department,Campus B,Systems Engineer,11,0,3,1,0,1,Other,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1,09:54,21:00,665,0,1,0,0,1
1,30/12/2024,Engineering Department,Campus B,Systems Engineer,11,0,3,1,0,1,Other,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1,07:46,19:14,688,0,1,0,0,0
1,31/12/2024,Engineering Department,Campus B,Systems Engineer,11,0,3,1,0,1,Other,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1,07:38,17:02,564,0,1,0,0,0
1,01/01/2025,Engineering Department,Campus B,Systems Engineer,11,0,3,1,0,1,Other,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1,09:07,17:38,510,0,1,0,0,0
1,02/01/2025,Engineering Department,Campus B,Systems Engineer,11,0,3,1,0,1,Other,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,1,1,09:02,18:18,556,0,1,0,0,0
1,03/01/2025,Engineering Department,Campus B,Systems Engineer,11,0,3,1,0,1,Other,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0
1,04/01/2025,Engineering Department,Campus B,Systems Engineer,11,0,3,1,0,1,Other,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0
1,05/01/2025,Engineering Department,Campus B,Systems Engineer,11,0,3,1,0,1,Other,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,0
